bookingStatus,status1Day,status2Days,status1Week,status1Month
26,0,0,0,0
39,11,12,18,30
0,0,0,0,0
173,17,30,34,98
0,0,0,0,0
22,0,0,0,6
28,0,0,0,0
58,0,0,11,26
19,13,13,18,18
94,31,40,49,60
11,0,7,7,7
22,4,7,8,11
5,0,0,0,0
7,0,0,0,0
39,0,38,39,39
24,0,2,5,7
0,0,0,0,0
34,0,0,0,1
0,0,0,0,0
144,0,70,76,99
33,0,0,0,9
31,0,0,0,0
38,0,2,6,3
9,0,0,0,8
25,16,17,18,20
7,0,4,4,5
16,0,0,7,7
0,0,0,0,0
58,0,0,16,47
66,0,0,0,22
32,0,9,15,31
28,0,11,19,25
27,0,9,10,17
111,0,0,0,20
73,0,0,0,11
10,0,0,0,0
0,0,0,0,0
9,0,0,2,4
4,0,0,0,0
27,0,7,9,18
219,0,85,91,103
23,0,8,9,16
0,0,0,0,0
48,0,0,0,0
44,18,22,24,32
168,0,0,16,45
35,0,12,13,13
3,1,1,2,3
15,5,5,8,9
50,6,8,15,16
0,0,0,0,0
23,16,16,16,20
53,9,23,23,35
64,0,0,0,4
49,0,0,0,0
92,0,45,53,60
34,0,23,23,24
103,54,57,58,67
0,0,0,0,0
0,0,0,0,0
18,0,0,0,0
54,0,0,0,9
8,0,0,2,4
0,0,0,0,0
5,0,0,0,0
0,0,0,0,0
8,3,6,8,8
0,0,0,0,0
66,0,12,29,52
8,0,1,1,4
7,0,0,0,0
44,0,28,30,37
0,0,0,0,0
